tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,won
2004-360,Casablanca,Clay,32,A,20040517,1,103103,1,,Dominik Hrbaty,R,183,SVK,26.3655030801,32,1022,6-2 6-2,3,R32,65,4,1,56,32,27,11,8,6,6,1
2004-360,Casablanca,Clay,32,A,20040517,2,102231,,,Alex Calatrava,R,190,ESP,30.9240246407,150,270,6-3 4-6 6-4,3,R32,108,4,4,83,59,33,12,14,6,11,1
2004-360,Casablanca,Clay,32,A,20040517,3,103700,,,Juan Pablo Guzman,L,178,ARG,23.2963723477,136,288,6-2 6-1,3,R32,59,0,2,50,26,20,13,7,3,3,1
2004-360,Casablanca,Clay,32,A,20040517,4,103169,8,,Oscar Hernandez,R,180,ESP,26.1026694045,90,453,6-4 6-4,3,R32,94,0,4,60,39,27,13,10,3,4,1
2004-360,Casablanca,Clay,32,A,20040517,5,103898,,,Julien Benneteau,R,185,FRA,22.4065708419,109,373,6-4 6-2,3,R32,100,1,5,73,43,29,16,9,6,7,1
2004-360,Casablanca,Clay,32,A,20040517,6,102369,,,Julien Boutter,R,190,FRA,30.1163586585,574,31,6-1 3-6 6-1,3,R32,86,2,8,67,33,25,22,12,2,3,1
2004-360,Casablanca,Clay,32,A,20040517,7,102768,,,Federico Browne,R,180,ARG,28.1095140315,181,212,6-3 7-5,3,R32,,,,,,,,,,,1
2004-360,Casablanca,Clay,32,A,20040517,8,103693,7,,Thierry Ascione,R,188,FRA,23.3292265572,91,442,6-3 6-4,3,R32,71,0,0,52,36,26,10,10,4,6,1
2004-360,Casablanca,Clay,32,A,20040517,9,102642,5,,Cyril Saulnier,R,190,FRA,28.7529089665,79,496,6-3 6-2,3,R32,55,5,2,48,26,22,15,9,1,1,1
2004-360,Casablanca,Clay,32,A,20040517,10,103294,,,Christophe Rochus,R,170,BEL,25.4209445585,133,295,7-5 6-1,3,R32,78,1,6,71,38,28,10,10,5,9,1
2004-360,Casablanca,Clay,32,A,20040517,11,102287,,,Albert Portas,R,188,ESP,30.5023956194,107,382,6-2 7-5,3,R32,71,5,2,62,32,24,16,10,4,5,1
2004-360,Casablanca,Clay,32,A,20040517,12,102179,3,,Antony Dupuis,R,185,FRA,31.2251882272,82,485,7-6(7) 6-4,3,R32,123,3,3,90,44,32,22,11,7,9,1
2004-360,Casablanca,Clay,32,A,20040517,13,102730,,,Ivo Heuberger,R,188,SUI,28.2409308693,141,277,6-4 6-2,3,R32,77,2,7,57,20,16,17,9,5,7,1
2004-360,Casablanca,Clay,32,A,20040517,14,104195,,Q,Simone Vagnozzi,R,173,ITA,20.9664613279,407,66,7-6(7) 6-1,3,R32,,,,,,,,,,,1
2004-360,Casablanca,Clay,32,A,20040517,15,103490,,Q,Santiago Ventura,R,183,ESP,24.3641341547,316,104,6-2 6-3,3,R32,,,,,,,,,,,1
2004-360,Casablanca,Clay,32,A,20040517,16,103917,,,Nicolas Mahut,R,190,FRA,22.3189596167,111,369,6-1 6-2,3,R32,,,,,,,,,,,1
2004-360,Casablanca,Clay,32,A,20040517,17,103103,1,,Dominik Hrbaty,R,183,SVK,26.3655030801,32,1022,5-7 6-4 6-4,3,R16,147,6,3,97,55,40,19,16,7,11,1
2004-360,Casablanca,Clay,32,A,20040517,18,103169,8,,Oscar Hernandez,R,180,ESP,26.1026694045,90,453,6-4 1-6 7-6(3),3,R16,138,3,0,86,56,37,14,14,8,13,1
2004-360,Casablanca,Clay,32,A,20040517,19,103898,,,Julien Benneteau,R,185,FRA,22.4065708419,109,373,2-6 6-3 6-4,3,R16,117,4,3,83,52,29,17,14,4,9,1
2004-360,Casablanca,Clay,32,A,20040517,20,103693,7,,Thierry Ascione,R,188,FRA,23.3292265572,91,442,6-2 3-1 RET,3,R16,45,1,2,39,23,18,9,6,2,2,1
2004-360,Casablanca,Clay,32,A,20040517,21,103294,,,Christophe Rochus,R,170,BEL,25.4209445585,133,295,6-0 6-3,3,R16,57,1,1,42,27,17,11,7,1,2,1
2004-360,Casablanca,Clay,32,A,20040517,22,102179,3,,Antony Dupuis,R,185,FRA,31.2251882272,82,485,7-6(4) 7-6(2),3,R16,109,13,1,77,44,37,20,12,2,3,1
2004-360,Casablanca,Clay,32,A,20040517,23,102730,,,Ivo Heuberger,R,188,SUI,28.2409308693,141,277,6-3 6-4,3,R16,103,7,3,75,34,25,20,10,7,9,1
2004-360,Casablanca,Clay,32,A,20040517,24,103490,,Q,Santiago Ventura,R,183,ESP,24.3641341547,316,104,7-6(5) 6-4,3,R16,94,4,3,72,40,27,19,11,2,4,1
2004-360,Casablanca,Clay,32,A,20040517,25,103103,1,,Dominik Hrbaty,R,183,SVK,26.3655030801,32,1022,6-3 6-0,3,QF,56,0,2,53,29,25,12,8,3,3,1
2004-360,Casablanca,Clay,32,A,20040517,26,103898,,,Julien Benneteau,R,185,FRA,22.4065708419,109,373,6-3 6-4,3,QF,75,2,0,59,39,28,13,9,5,5,1
2004-360,Casablanca,Clay,32,A,20040517,27,103294,,,Christophe Rochus,R,170,BEL,25.4209445585,133,295,6-3 6-1,3,QF,58,3,1,46,28,23,11,8,2,2,1
2004-360,Casablanca,Clay,32,A,20040517,28,103490,,Q,Santiago Ventura,R,183,ESP,24.3641341547,316,104,6-2 6-4,3,QF,86,2,3,62,25,17,23,9,4,5,1
2004-360,Casablanca,Clay,32,A,20040517,29,103103,1,,Dominik Hrbaty,R,183,SVK,26.3655030801,32,1022,6-2 6-2,3,SF,61,7,2,54,34,27,9,8,4,4,1
2004-360,Casablanca,Clay,32,A,20040517,30,103490,,Q,Santiago Ventura,R,183,ESP,24.3641341547,316,104,6-1 1-6 6-2,3,SF,96,2,2,77,41,27,18,11,6,9,1
2004-360,Casablanca,Clay,32,A,20040517,31,103490,,Q,Santiago Ventura,R,183,ESP,24.3641341547,316,104,6-3 1-6 6-4,3,F,116,6,7,83,37,28,24,13,6,8,1
2004-505,Vina del Mar,Clay,32,A,20040209,1,103454,1,,Nicolas Massu,R,183,CHI,24.334017796,14,1564,6-1 6-2,3,R32,57,2,4,45,25,21,13,8,2,2,1
2004-505,Vina del Mar,Clay,32,A,20040209,2,103248,,,Harel Levy,R,185,ISR,25.5140314853,106,373,6-3 6-3,3,R32,69,3,0,58,36,27,13,9,0,0,1
2004-505,Vina del Mar,Clay,32,A,20040209,3,103201,,WC,Adrian Garcia,R,175,CHI,25.711156742,232,152,6-4 6-4,3,R32,76,2,3,59,27,21,19,10,0,2,1
2004-505,Vina del Mar,Clay,32,A,20040209,4,103602,5,,Fernando Gonzalez,R,183,CHI,23.5318275154,36,995,6-1 7-5,3,R32,70,3,5,52,27,19,13,9,3,5,1
2004-505,Vina del Mar,Clay,32,A,20040209,5,103151,3,,Mariano Zabaleta,R,183,ARG,25.9466119097,31,1060,6-4 6-0,3,R32,70,3,2,60,37,30,9,8,7,8,1
2004-505,Vina del Mar,Clay,32,A,20040209,6,103105,,,Ruben Ramirez Hidalgo,R,183,ESP,26.0917180014,79,455,6-1 3-6 6-3,3,R32,95,7,0,83,50,41,16,13,7,8,1
2004-505,Vina del Mar,Clay,32,A,20040209,7,103632,,,Luis Horna,R,180,PER,23.4031485284,65,548,6-4 7-5,3,R32,86,5,1,67,50,35,10,11,3,5,1
2004-505,Vina del Mar,Clay,32,A,20040209,8,103581,8,,Flavio Saretta,R,183,BRA,23.6167008898,45,769,6-2 6-1,3,R32,73,1,5,43,19,17,12,7,1,2,1
2004-505,Vina del Mar,Clay,32,A,20040209,9,103176,,,David Sanchez,R,183,ESP,25.8069815195,50,736,6-4 6-2,3,R32,73,2,1,57,39,25,9,9,3,5,1
2004-505,Vina del Mar,Clay,32,A,20040209,10,103525,,,Ivan Miranda,R,175,PER,23.923340178,126,319,6-4 6-3,3,R32,91,0,0,67,50,28,9,10,1,5,1
2004-505,Vina del Mar,Clay,32,A,20040209,11,104076,,,Jose Acasuso,R,190,ARG,21.3059548255,113,354,7-6(5) 6-4,3,R32,119,5,2,82,39,30,19,11,6,9,1
2004-505,Vina del Mar,Clay,32,A,20040209,12,103292,4,,Gaston Gaudio,R,175,ARG,25.1690622861,34,1030,3-6 6-3 6-2,3,R32,108,2,6,76,41,31,17,13,1,4,1
2004-505,Vina del Mar,Clay,32,A,20040209,13,103835,7,,Filippo Volandri,R,183,ITA,22.4284736482,44,799,6-0 6-4,3,R32,64,2,1,44,32,25,5,8,1,2,1
2004-505,Vina del Mar,Clay,32,A,20040209,14,102869,,,Galo Blanco,R,173,ESP,27.3374401095,88,422,6-4 6-3,3,R32,88,2,4,58,31,21,16,9,2,4,1
2004-505,Vina del Mar,Clay,32,A,20040209,15,102644,,Q,Franco Squillari,L,183,ARG,28.4681724846,137,285,6-4 6-1,3,R32,81,0,3,47,29,24,11,9,0,1,1
2004-505,Vina del Mar,Clay,32,A,20040209,16,102856,2,,Gustavo Kuerten,R,190,BRA,27.4140999316,17,1410,6-3 6-3,3,R32,64,5,1,43,24,23,13,9,0,0,1
2004-505,Vina del Mar,Clay,32,A,20040209,17,103454,1,,Nicolas Massu,R,183,CHI,24.334017796,14,1564,6-2 6-4,3,R16,75,5,1,49,26,20,17,9,1,1,1
